gene_name,twoD_1,twoD_2,twoD_3,twoD_4,dynamic_1,dynamic_2,dynamic_3,dynamic_4
LOC100337457,5,0,0,0,0,9,0,1
CNOT4,825,616,767,638,672,682,728,1416
TRNAR-GCG_5,0,0,3,0,0,0,0,1
NUP205,2190,2515,2302,1838,3934,2079,3323,2655
STMP1,1941,1713,2761,1815,2441,2679,2351,2459
SLC13A4,128,242,235,108,219,1144,320,245
FAM180A,0,0,0,0,0,0,0,0
LOC112446424,0,0,0,0,0,0,0,0
MTPN,497,321,581,280,391,610,466,676
TRNAQ-CUG_9,0,0,0,0,0,0,0,0
TRNAR-GCG_6,0,0,0,0,0,0,0,0
LOC786173,3,5,6,7,3,2,33,18
CHRM2,0,0,0,0,0,0,0,0
MIR490,0,0,0,0,0,0,0,0
TRNAC-GCA_38,0,0,0,0,0,0,0,0
LOC112446425,0,0,0,0,0,0,0,0
PTN,29,56,11,26,21,0,32,16
DGKI,0,8,11,1,5,0,2,0
CREB3L2,248,375,392,157,305,227,202,361
MIR12013,0,0,0,0,0,0,0,0
AKR1D1,0,26,1,8,0,0,0,0
TRIM24,3555,2887,4828,2837,2406,1549,1206,5682
SVOPL,114,122,48,89,105,140,125,111
LOC132345133,1,6,0,15,4,16,16,15
ATP6V0A4,13839,17385,14917,17611,25215,21258,26086,20300
TMEM213,0,0,0,0,0,0,0,0
KIAA1549,1521,864,1571,983,938,860,1606,1417
ZC3HAV1L,391,153,212,314,90,83,137,595
ZC3HAV1,135,107,186,16,101,550,80,249
TTC26,28,153,46,77,159,0,35,215
UBN2,348,292,452,248,315,202,166,563
LOC132345134,0,0,0,2,0,0,0,1
TRNAR-CCU_5,0,0,2,1,0,7,2,1
FMC1,539,266,588,301,570,530,673,455
LUC7L2,408,419,343,394,425,391,220,261
KLRG2,157,154,123,212,66,27,88,184
TRNAA-CGC_1,0,0,0,0,0,0,2,0
CLEC2L,0,0,18,0,0,0,6,27
HIPK2,239,325,326,253,411,126,274,641
LOC107132435,0,0,0,0,0,0,0,0
TBXAS1,0,0,0,0,0,0,0,0
LOC112446511,0,0,1,0,0,0,0,0
PARP12,1248,807,1731,970,1452,439,442,1471
LOC112446427,152,79,326,114,143,34,22,291
KDM7A,168,163,171,29,28,88,43,291
SLC37A3,2916,3588,3698,3423,6794,7328,6365,3414
RAB19,29,1,8,0,0,4,2,4
MKRN1,1422,1041,3631,3358,1557,387,1189,2554
DENND2A,5,4,15,0,0,3,19,23
TRNAG-UCC_21,0,0,0,0,0,0,0,0
LOC104972256,26,48,59,17,38,0,29,0
ADCK2,786,1005,861,710,1670,626,691,1365
LOC132345136,0,0,0,0,0,0,0,7
NDUFB2,2629,1776,3173,2270,2607,2853,3041,2789
BRAF,341,499,444,312,377,293,375,387
TRNAC-GCA_39,0,0,0,0,0,0,0,0
MRPS33,2588,2322,3345,2490,3461,2972,3531,3407
LOC101907501,0,0,0,0,0,0,0,0
LOC132345137,0,0,0,0,0,0,0,13
TMEM178B,163,219,148,82,230,60,126,66
TRNAC-GCA_40,0,0,0,0,0,0,0,0
TRNAS-GGA_30,0,0,0,0,0,0,0,0
TRNAE-CUC_6,0,0,0,0,0,0,0,0
LOC132345138,0,2,0,0,0,0,0,0
AGK,521,440,586,585,809,643,479,683
DENND11,21,53,7,73,58,11,0,34
WEE2,15,0,0,0,0,0,0,1
SSBP1,2581,2909,3621,2633,3793,2662,3610,3265
TAS2R3,0,0,0,0,0,0,0,0
TAS2R4,0,0,0,0,0,0,0,0
TAS2R5,0,0,0,35,0,0,0,0
PRSS37,0,0,0,0,0,0,0,0
LOC615237,0,0,0,14,0,0,0,0
OR9A4,0,0,0,0,0,0,0,0
OR9A17,0,0,0,0,0,0,0,0
OR9A18,0,0,0,0,0,0,0,0
OR9A7,0,0,0,0,0,0,0,0
CLEC5A,0,0,0,0,0,0,0,0
TAS2R38,0,0,0,0,0,0,0,0
MGAM,0,0,0,26,49,42,61,18
LOC100296901,0,9,0,0,172,57,0,0
LOC101902292,0,0,0,0,0,0,0,0
PRSS58,0,0,0,0,0,0,0,0
LOC780846,0,0,0,0,0,0,0,0
PRSS1,0,0,0,0,0,0,0,0
LOC615026,0,0,0,0,0,0,0,0
LOC100300510,75,84,119,31,52,1227,114,48
LOC615948,0,0,0,0,0,0,0,0
LOC101907820,0,0,0,0,0,0,0,0
LOC789121,0,0,1,0,0,0,0,1
LOC100297263,0,0,5,0,0,0,9,4
LOC101904744,0,0,0,1,0,0,0,1
LOC100299076,0,0,0,0,0,0,0,1
LOC104972445,0,0,0,0,0,6,0,0
LOC132345140,0,0,0,0,0,2,0,0
LOC112446434,0,0,0,0,0,0,0,0
LOC112446445,0,0,0,0,0,0,0,0
LOC104972274,0,0,0,0,0,0,0,0
LOC132345146,0,0,0,0,0,0,0,0
LOC132345141,2,0,0,0,0,0,0,0
LOC132345147,0,1,0,0,0,0,0,0
LOC107132437,0,0,0,0,0,0,0,0
LOC101904319,0,0,0,0,0,0,0,0
LOC100851681,0,0,0,0,0,0,0,0
LOC132345145,0,0,0,0,0,0,0,0
LOC509513,3,1,0,0,0,0,0,0
LOC101909872,4,0,0,0,0,0,0,0
LOC112446440,0,0,0,0,0,0,0,0
LOC101903590,0,0,0,0,0,0,0,0
LOC101904148,0,0,0,0,0,0,0,0
LOC101903755,0,0,0,0,0,0,0,0
LOC112446446,0,0,0,0,0,0,0,0
LOC101903933,0,0,0,0,0,0,0,0
LOC132345144,0,0,0,0,0,0,0,0
LOC100336982,0,0,0,0,0,0,0,0
LOC132345150,0,0,0,0,0,0,0,0
LOC132345149,0,0,0,0,0,0,0,0
LOC101902874,0,0,0,0,0,0,0,0
LOC101902921,0,0,0,0,0,0,0,0
LOC101902797,0,0,0,0,0,0,0,0
LOC132345142,0,0,0,0,0,0,0,0
LOC132345143,0,4,0,0,0,1,0,4
LOC112446442,0,0,0,0,0,0,0,0
LOC101902515,0,0,0,0,0,0,0,0
LOC786254,0,0,0,0,0,0,0,0
PRSS2,0,6,39,0,0,0,0,0
LOC132345139,0,0,0,0,0,0,0,0
LOC505349,0,0,0,0,0,0,0,0
EPHB6,47,294,706,31,107,308,43,243
TRPV6,0,0,27,10,3,0,21,24
TRPV5,5143,4239,4648,3892,9903,5078,7425,5073
LLCFC1,0,0,0,0,0,0,0,0
KEL,66,46,155,39,22,50,92,76
OR9A2,0,0,0,0,0,0,0,0
OR9A16,0,1,0,0,0,0,0,0
OR9A15,0,2,0,0,0,0,0,0
OR6V1,0,0,0,0,0,0,0,0
PIP,33,0,33,7,13,0,2,29
LOC104972276,6,0,0,0,0,0,0,0
LOC101910192,0,0,15,0,0,0,0,0
TAS2R39,0,0,0,0,0,0,0,0
TAS2R40,50,32,68,32,13,31,24,32
GSTK1,469,314,468,292,563,378,556,833
TMEM139,2747,1778,3132,2451,4189,1880,2416,4108
CASP2,272,126,273,174,218,140,149,161
CLCN1,0,34,98,1,0,888,29,111
FAM131B,1,13,12,1,0,29,2,9
ZYX,1053,1163,3242,1211,1457,2135,798,2665
EPHA1,1407,1121,1309,1422,2236,2490,1438,1222
LOC785618,0,0,0,0,0,0,33,0
TAS2R60,0,5,0,0,0,0,0,0
TAS2R41,0,0,0,0,0,0,0,0
OR2R3,0,0,0,0,0,0,0,0
OR10AC1,0,0,0,0,0,0,0,0
TCAF2,2884,2828,5526,3283,4622,7308,6034,3615
TCAF1,113,332,308,432,404,150,373,317
OR2F2,0,0,0,0,0,0,0,0
OR2F2B,0,0,0,0,0,0,0,0
TRNAC-ACA_43,0,0,0,0,0,0,0,0
OR2F1,0,0,0,0,0,0,0,0
OR2F1D,0,0,0,0,0,0,0,0
OR2Q2,0,0,0,0,0,0,0,0
OR2Q1,0,0,0,0,0,0,0,0
TRNAV-AAC_9,0,0,0,0,0,0,0,0
OR6B1,0,0,0,0,0,0,0,0
OR2A5,0,0,0,0,0,0,0,0
OR2A25,0,0,0,0,0,0,0,0
OR2A12,0,0,0,0,0,0,0,0
TRNAG-UCC_22,0,0,0,0,0,0,0,0
OR2A14B,0,0,0,0,0,0,0,0
OR2A14,0,0,0,0,0,0,0,0
OR2A13,0,0,0,0,0,0,0,0
OR2A69,0,0,0,0,0,0,0,0
OR2A70,0,0,0,0,0,0,0,0
OR2A68,0,0,0,0,0,0,0,0
OR2A67,0,0,0,0,0,0,0,0
OR2A66,0,0,0,0,0,0,0,0
OR2A65,0,0,0,0,0,0,0,0
OR2A61,0,0,0,0,0,0,0,0
OR2A64,0,0,0,0,0,0,0,0
OR2A7,0,0,0,0,0,0,0,0
OR2A62,0,0,0,0,0,0,0,0
ARHGEF5,200,122,331,217,569,165,237,273
NOBOX,10,6,17,1,0,0,0,0
TPK1,365,340,316,371,283,498,310,422
LOC112446451,82,16,21,5,116,25,41,93
CNTNAP2,0,0,0,97,0,9,2,15
TRNAW-CCA_29,0,0,0,0,0,0,0,0
CUL1,2905,3179,3273,1857,1385,492,508,2331
EZH2,4017,3023,3930,1584,2034,415,453,3715
LOC100336368,270,331,468,213,371,1132,443,488
PDIA4,3801,3908,6925,2290,3690,15039,4896,6200
ZNF786,579,477,747,364,862,412,264,725
ZNF398,23,6,66,10,75,1,26,45
ZNF282,30,21,6,42,31,12,1,19
ZNF212,260,165,316,127,271,160,195,458
ZNF783,116,98,221,74,195,195,146,91
TRNAC-GCA_41,0,0,0,0,0,0,0,0
TRNAC-GCA_42,0,0,0,0,0,0,0,0
TRNAC-GCA_43,0,0,0,0,0,0,0,0
TRNAC-GCA_44,0,0,0,0,0,0,0,0
TRNAC-GCA_45,0,0,0,0,0,0,0,0
TRNAC-GCA_46,0,0,0,0,0,0,0,0
TRNAC-GCA_47,0,0,0,0,0,0,0,0
TRNAC-GCA_48,0,0,0,0,0,0,0,0
ZNF777,39,23,7,68,106,33,24,20
ZNF746,63,33,98,53,64,42,37,58
TRNAC-GCA_49,0,0,0,0,0,0,0,0
TRNAC-GCA_50,0,0,0,0,0,0,0,0
TRNAC-GCA_51,0,0,0,0,0,0,0,0
TRNAC-GCA_52,0,0,0,0,0,0,0,0
TRNAC-GCA_53,7,0,8,0,0,3,0,0
TRNAC-GCA_54,0,0,0,0,0,0,0,0
TRNAC-GCA_55,0,0,0,0,0,0,0,0
TRNAC-GCA_56,0,0,0,0,0,0,0,0
KRBA1,60,40,84,20,191,37,24,57
ZNF467,0,0,14,0,0,0,0,2
SSPO,0,9,0,5,0,27,3,60
RARRES2,27,38,20,22,32,85,34,51
ZNF862,152,149,273,66,137,200,101,194
ATP6V0E2,43,111,48,41,164,43,37,101
TRNAC-GCA_57,0,0,0,0,0,0,0,0
TRNAC-GCA_58,0,0,0,0,0,0,0,0
LRRC61,241,120,235,229,359,464,424,486
ZBED10,0,0,0,0,0,0,0,0
REPIN1,24,4,10,4,3,5,2,20
ZNF775,2,6,7,19,7,0,0,11
LOC112446454,0,0,0,0,0,0,0,0
GIMAP8,25,244,43,12,43,561,18,95
LOC614871,0,12,0,0,0,0,0,0
LOC511617,0,0,0,0,0,0,0,0
LOC530031,8,0,0,0,0,15,10,0
LOC132345151,54,23,53,10,210,32,56,107
GIMAP4,494,0,0,163,1,187,326,682
LOC510988,20,12,5,1,0,0,6,30
LOC512867,120,41,226,14,78,0,102,676
LOC768255,185,0,12,58,0,61,149,301
GIMAP6,0,0,0,0,0,0,0,0
LOC100125415,0,0,0,0,0,0,0,0
GIMAP1,11,7,26,10,4,17,7,49
GIMAP2,0,0,0,1,0,0,0,6
GIMAP5,0,0,0,0,0,0,0,6
LOC530077,0,0,0,0,0,0,0,0
TRNAC-ACA_44,0,0,0,0,0,0,0,0
TMEM176B,0,0,0,0,0,0,1,0
TMEM176A,0,0,0,0,0,0,0,0
AOC1,0,0,0,0,0,0,0,0
LOC112446345,0,0,0,0,0,0,0,0
KCNH2,10,10,1,1,0,7,0,24
NOS3,0,0,0,0,0,0,6,7
ATG9B,272,150,523,213,418,203,142,151
ABCB8,2557,1843,2364,2586,3195,2407,2532,3161
ASIC3,5,0,0,1,0,0,0,3
CDK5,1057,990,1275,1156,1660,545,1435,1112
SLC4A2,4347,3433,3722,3232,3903,4265,3755,4946
FASTK,1335,1549,1420,1416,2454,1786,975,1155
MIR6525,0,0,0,0,0,0,0,0
TMUB1,168,148,210,159,279,266,265,234
AGAP3,187,159,478,448,371,354,255,254
GBX1,0,0,0,7,0,0,4,0
ASB10,0,0,0,0,0,16,0,0
LOC112446457,0,0,0,0,0,0,0,0
IQCA1L,0,0,0,0,0,0,0,0
H2BK1,0,0,0,0,0,1,1,0
ABCF2,5457,4645,4695,4517,7842,4761,5741,5124
CHPF2,44,46,146,66,326,163,49,160
MIR671,0,0,0,0,0,0,0,0
SMARCD3,68,42,204,109,59,39,13,240
LOC132345153,0,0,0,0,0,0,0,0
LOC132345192,62,1,112,31,62,120,162,232
NUB1,1874,1378,2523,1885,1701,2959,2862,2092
WDR86,16,18,79,18,4,4,1,15
LOC132345154,2,0,0,12,0,0,0,0
CRYGN,6,0,0,3,0,0,0,0
RHEB,3982,3551,4078,3963,4544,4782,3768,4386
PRKAG2,36,2,58,1,0,32,33,60
GALNTL5,0,0,0,0,0,0,0,0
GALNT11,4924,4939,3426,3677,4078,2436,4843,3086
KMT2C,2995,2041,2571,1818,3077,1345,2026,3155
CCT8L2,11,3,33,1,0,36,0,26
LOC132345155,0,0,0,0,0,0,8,0
LOC112446458,4,7,55,8,44,0,43,31
XRCC2,281,687,713,172,776,176,267,506
ACTR3B,82,68,125,117,88,78,54,157
LOC132345157,0,0,0,0,0,0,0,0
TRNAW-CCA_30,0,0,0,0,0,0,0,0
LOC509941,1,0,2,0,0,0,0,2
TRNAG-CCC_41,0,0,0,0,0,0,0,0
TRNAC-GCA_59,0,0,0,0,0,0,0,0
DPP6,17,8,32,0,6,11,7,41
LOC132345158,0,0,0,0,0,0,0,0
LOC132345159,0,0,0,0,0,0,0,0
PAXIP1,231,229,330,144,214,78,110,181
HTR5A,7,0,5,11,0,44,19,0
LOC112446459,9,1,0,1,0,0,0,0
TRNAR-CCU_6,0,0,0,0,0,0,0,0
INSIG1,611,3044,1774,2529,2638,4780,3290,3220
EN2,0,1,27,5,3,0,2,3
CNPY1,15,33,36,10,59,51,32,33
LOC112446516,0,1,0,0,0,0,1,0
RBM33,292,252,301,292,326,211,97,226
TRNAG-GCC_8,0,0,0,0,0,0,0,0
SHH,0,0,0,0,1,0,0,0
LOC112446461,0,0,0,0,0,0,0,0
LOC132345160,0,0,0,0,0,0,0,0
RNF32,13,5,14,0,0,7,9,0
LMBR1,679,735,810,646,764,1068,662,1048
LOC112446462,69,15,83,13,0,44,71,62
NOM1,390,624,900,397,624,382,370,793
MIR11984,0,1,6,0,0,0,0,0
LOC112446463,11,9,13,0,0,0,0,8
MNX1,7,18,25,10,14,7,16,0
UBE3C,1253,988,591,613,376,200,251,884
LOC132345161,36,2,0,18,31,25,11,5
LOC107131328,1,0,0,0,2,2,0,0
LOC112446505,0,0,0,0,0,0,0,0
DNAJB6,8882,7219,10124,6033,8142,9065,8360,9865
LOC104972306,0,0,0,0,0,0,0,0
PTPRN2,24,17,14,0,36,0,27,18
MIR153-2,0,0,0,0,0,0,0,0
LOC132345162,0,0,0,0,0,0,0,0
LOC112446465,0,4,0,0,0,0,0,0
NCAPG2,1430,1121,1104,1019,1150,1012,1324,1552
ESYT2,3356,2684,1994,3945,3332,6306,3187,3737
LOC132345163,237,175,187,115,83,76,180,187
LOC112446466,4,4,0,4,0,0,0,6
DYNC2I1,163,125,150,180,1,90,152,122
VIPR2,11,7,33,0,0,28,0,38
LOC104972309,0,0,0,20,0,0,0,0
LOC112446467,0,0,2,0,0,0,0,0
LOC132345165,0,0,0,0,0,0,0,0
LOC132345230,0,0,27,0,0,0,5,0
LOC132345231,24,18,5,10,4,5,5,7
MIR2284Y-6,0,0,0,0,0,0,0,0
TSPAN8,0,0,0,0,0,0,0,0
LGR5,54,65,41,9,57,0,6,24
LOC112446921,0,0,0,0,0,0,0,0
ZFC3H1,763,614,1175,654,544,735,672,1163
THAP2,97,94,60,47,68,49,76,34
TMEM19,884,963,839,1022,634,1046,734,1123
RAB21,784,737,812,477,350,126,125,641
TBC1D15,1125,1479,708,1688,1434,1708,1119,1257
TPH2,867,340,789,338,353,140,366,770
TRHDE,14,10,2,18,24,10,5,5
LOC132345232,0,0,0,0,0,0,0,0
LOC132345233,1,5,0,0,0,0,1,0
ATXN7L3B,1877,1888,2386,1800,1250,2069,2583,2614
LOC523590,0,0,0,0,0,0,0,0
TRNAY-GUA_10,0,0,0,0,0,0,0,0
KCNC2,0,0,0,34,17,0,0,32
LOC132345234,0,0,0,0,0,0,0,0
CAPS2,54,39,12,32,4,0,24,62
LOC112446641,0,0,0,0,0,0,0,0
GLIPR1L1,54,8,57,10,82,87,33,82
GLIPR1L2,11,1,8,0,0,0,0,1
GLIPR1,107,164,1217,442,337,501,589,714
KRR1,1186,1343,888,1289,1450,1581,1318,1182
LOC107132452,0,0,0,0,0,0,0,0
PHLDA1,1,52,21,7,30,36,36,57
NAP1L1,9147,8181,13238,10917,15483,12498,10559,10486
TRNAC-GCA_60,0,0,0,0,0,0,0,0
BBS10,98,76,87,81,45,81,67,127
OSBPL8,1995,2666,2497,3009,3708,6640,2736,3082
LOC132345377,2,24,10,24,39,3,97,13
LOC112446854,0,0,0,0,0,0,0,0
ZDHHC17,277,418,243,383,465,264,434,461
CSRP2,11117,21264,23941,19773,27059,25377,53039,18963
LOC112446899,0,0,0,0,0,0,0,0
E2F7,64,72,153,168,171,36,88,344
LOC112446846,0,0,0,0,0,0,0,0
LOC132345235,0,0,0,0,0,0,0,0
NAV3,0,0,0,0,0,0,0,0
LOC132345236,0,0,0,0,0,0,0,0
LOC104972332,0,0,0,0,0,0,0,0
LOC101907549,0,0,1,0,0,2,0,0
SYT1,0,0,0,2,14,0,0,0
LOC104972334,3,23,5,0,11,5,0,12
PAWR,785,664,1019,549,555,325,272,557
LOC112446863,0,0,0,0,0,0,0,0
PPP1R12A,2923,2895,3840,2951,2875,2444,2356,4624
OTOGL,0,0,0,0,541,0,0,107
PTPRQ,3,0,3,36,0,29,12,34
LOC132345238,0,0,0,0,0,0,0,0
LOC112446841,0,0,0,0,0,0,0,0
LOC132345237,0,0,0,0,0,0,0,0
MYF6,0,0,0,0,0,0,2,0
MYF5,0,0,0,0,3,0,0,0
LOC132345239,0,0,0,0,0,0,0,0
LIN7A,126,8,36,11,27,129,95,125
LOC132345240,0,0,0,0,0,0,0,0
ACSS3,19,17,0,24,0,2,3,46
PPFIA2,5,21,0,0,0,1,0,8
TRNAC-ACA_45,0,0,0,0,0,0,0,0
LOC107132454,0,0,0,0,0,0,0,0
LOC112446645,0,1,3,1,3,4,1,3
CCDC59,1335,1107,1526,1119,1629,1357,1307,1561
METTL25,125,46,95,52,168,104,61,166
LOC132345241,0,0,0,0,0,0,0,0
TMTC2,1,51,30,32,0,0,0,126
LOC112446646,0,0,0,0,0,0,0,0
LOC112446868,0,0,0,0,0,0,0,0
SLC6A15,21,12,32,0,10,39,0,45
TSPAN19,8,0,0,0,0,0,0,0
LRRIQ1,5,20,0,8,71,1,20,35
LOC112446910,0,0,0,0,0,0,0,0
ALX1,1,8,14,6,0,13,0,0
LOC112446649,0,0,0,0,0,0,0,0
RASSF9,2,3,0,2,2,0,11,24
NTS,0,0,0,0,0,0,0,0
MGAT4C,0,0,0,0,0,1,0,12
LOC112446650,0,0,0,0,0,0,0,0
LOC112446836,0,0,0,0,0,0,0,0
C5H12orf50,0,0,13,16,2,0,1,46
C5H12orf29,1132,957,1136,756,1356,1156,932,1255
CEP290,258,255,247,208,260,295,170,272
TMTC3,351,399,470,386,280,704,496,522
KITLG,70,26,80,11,48,4,32,276
TRNAG-CCC_42,0,0,0,0,0,0,0,0
LOC104972350,0,3,0,0,0,0,0,0
LOC132345242,0,0,0,0,0,0,0,0
LOC107132456,0,0,0,0,0,0,0,0
TRNAK-UUU_10,0,0,0,0,0,0,0,0
DUSP6,299,597,1042,291,449,2924,1218,473
LOC107131351,0,0,0,0,0,0,0,0
POC1B,46,51,139,119,49,77,93,146
LOC112446852,0,0,0,0,0,0,0,0
GALNT4,64,3,75,27,128,71,126,56
LOC101906971,0,0,0,0,0,0,0,0
LOC112446834,0,0,0,0,0,0,0,0
ATP2B1,2746,4306,2445,2727,2990,3307,2671,2907
LOC132345243,11,1,2,8,0,11,12,1
TRNAC-ACA_46,0,0,0,0,0,0,0,0
LOC112446835,0,0,0,0,0,0,0,0
LOC101907192,0,0,0,0,1,0,0,0
LOC100848024,21,19,28,1,2,20,6,26
CCER1,0,0,0,0,0,0,0,0
EPYC,0,0,0,0,0,0,0,0
KERA,0,0,0,0,0,0,0,0
TRNAC-ACA_47,0,0,0,0,0,0,0,0
LUM,72,24,1,1,0,65,21,13
LOC132345244,0,0,0,0,0,0,0,0
DCN,19,4,31,9,0,76,59,95
LOC132345245,0,0,0,0,0,0,0,0
LOC112446653,0,0,0,0,0,0,0,0
LOC107132462,0,0,0,0,0,0,0,0
LOC112446654,0,0,0,0,0,0,0,0
LOC112446880,0,0,0,0,0,0,0,0
LOC104972363,0,0,0,0,0,1,0,0
BTG1,711,678,934,476,830,506,387,668
LOC107132458,3,0,0,0,0,0,0,0
LOC132345246,0,0,0,0,0,0,0,0
LOC132345247,0,0,0,0,0,1,0,0
LOC107132468,0,4,0,0,0,7,0,0
PLEKHG7,7,1,24,0,0,38,9,73
EEA1,1979,1736,2474,1921,1546,3924,2071,2973
LOC132345248,12,18,24,0,1,1,29,44
LOC107132464,0,0,0,0,0,0,0,0
NUDT4,5758,5511,3596,4302,5518,3463,4815,6536
UBE2N,7037,6275,7522,5992,8648,6443,6873,8992
MRPL42,2345,2633,2954,2763,4971,2319,3096,3283
LOC132345250,0,0,0,0,0,0,0,0
SOCS2,802,728,1001,708,660,1334,606,897
CRADD,57,70,110,46,91,30,72,30
LOC132345251,0,0,0,13,0,0,0,7
PLXNC1,48,80,24,102,13,0,32,50
CEP83,1423,479,1245,819,538,632,730,1302
LOC100848598,31,56,138,44,22,81,51,121
TMCC3,1434,1271,2707,952,1431,3074,1194,3206
NDUFA12,4083,2201,3367,3213,5107,2492,2654,3718
NR2C1,925,859,522,697,663,439,541,602
FGD6,1406,1049,1143,734,1117,1227,971,2145
VEZT,659,653,640,458,1213,817,514,794
LOC112446660,4,0,0,0,0,0,0,1
MIR331,1,0,0,0,0,1,0,3
METAP2,4338,4120,4207,3955,4913,3949,4266,5085
USP44,41,45,22,68,43,29,71,55
LOC101906280,2,3,9,0,21,6,4,8
LOC112446661,0,8,0,7,57,0,4,0
MUCL1,3,0,0,0,0,32,0,0
GLYCAM1,0,0,0,0,0,0,0,0
PPP1R1A,199,312,528,122,345,68,71,355
PDE1B,326,501,372,227,696,593,297,502
NCKAP1L,21,15,65,1,0,54,14,102
LOC112446662,0,0,0,0,0,0,0,0
GTSF1,3590,3560,5746,2272,3341,4257,4724,6153
ITGA5,12889,20042,14235,17571,33048,17178,17083,17093
LOC112446664,16,1,20,3,22,3,5,1
LOC112446663,5,2,7,7,7,1,3,1
ZNF385A,0,17,27,0,32,33,26,2
GPR84,37,60,63,12,8,28,80,15
COPZ1,7587,7991,5894,6754,9185,6020,8007,6154
MIR148B,0,0,0,0,0,0,0,0
LOC534520,7,2,16,7,20,3,8,9
NFE2,1543,832,1060,1046,1412,740,1401,1309
HNRNPA1,35875,33446,28929,30856,45950,22429,29706,32940
CBX5,5182,3835,4554,4003,5420,4078,3987,6603
SMUG1,551,556,730,513,642,747,438,568
LOC101906546,0,0,0,0,0,0,0,0
LOC112446665,0,0,0,0,0,0,0,0
LOC100847613,0,0,10,0,1,0,0,0
LOC107132469,0,0,0,0,0,0,0,0
HOXC4,13,20,34,27,105,16,18,48
HOXC5,18,7,24,27,24,0,21,28
MIR615,0,0,0,0,0,0,0,0
HOXC6,2,0,0,2,0,0,0,3
HOXC8,0,1,0,0,0,0,0,0
HOXC9,92,75,143,107,118,136,59,116
MIR196A-2,0,0,0,0,0,0,0,0
HOXC10,32,30,160,17,96,60,64,158
LOC101907194,22,11,53,1,41,28,10,20
HOXC11,0,0,0,0,0,0,0,18
LOC101907241,35,51,93,148,314,24,76,103
HOXC12,6,0,8,6,0,4,0,17
LOC132345252,0,0,0,0,0,0,0,3
HOXC13,82,19,35,51,18,35,13,76
CALCOCO1,1943,1300,1742,1564,2674,1258,1741,1654
LOC112446668,0,5,0,1,4,0,0,2
ATP5MC2,9571,8093,10133,9352,17762,10029,12321,8904
LOC112446860,0,0,1,0,0,0,0,0
ATF7,689,413,1144,444,758,859,609,1081
LOC132345254,0,0,1,0,0,1,1,0
NPFF,1,3,8,1,4,2,0,3
TARBP2,1827,1686,1963,1659,2601,1534,1705,2388
MAP3K12,40,72,185,64,205,73,60,178
PCBP2,1867,1737,2345,1665,3187,1824,1703,1904
LOC112446842,0,0,0,0,0,1,0,0
PRR13,1012,660,1194,749,949,2433,898,1135
LOC132345255,58,10,32,9,12,30,9,44
AMHR2,2,21,0,2,0,0,0,0
SP1,2044,1808,1930,1394,2995,1406,1556,1817
LOC101909736,7,2,4,2,0,0,2,2
SP7,0,0,0,0,0,0,0,0
AAAS,1466,1343,1904,1204,2238,2236,1631,2197
MYG1,1002,1361,1104,1036,1945,1143,1002,1095
PFDN5,1109,1042,1489,1082,2350,1407,1581,1389
ESPL1,2541,2736,1823,1417,3172,2256,2197,3562
MFSD5,5556,4352,8225,5107,11784,10685,9853,9059
LOC112446671,0,0,0,0,0,0,0,0
RARG,0,10,3,4,13,0,0,12
ITGB7,1,0,0,0,0,84,36,54
ZNF740,156,150,219,64,201,53,138,118
CSAD,453,686,710,558,1125,1163,776,615
SOAT2,0,0,0,0,0,13,1,0
IGFBP6,12,36,218,20,44,1148,94,284
SPRYD3,286,225,414,162,103,486,259,528
TNS2,101,98,107,74,154,80,91,125
LOC132345256,29,9,18,10,41,37,87,33
EIF4B,7844,7606,9005,5764,7873,9894,6626,8254
KRT18,63649,103032,161152,86896,144667,233078,148506,112121
LOC104976949,14,13,61,9,70,12,21,17
KRT8,327804,479635,738531,467080,726698,934443,738903,584391
LOC132345257,0,0,0,0,0,0,0,0
KRT78,15,8,0,0,0,0,0,19
KRT79,0,0,0,0,0,0,0,0
KRT4,0,0,0,0,0,0,0,0
KRT3,0,0,0,0,0,0,0,0
LOC100336907,0,0,0,0,0,0,0,0
LOC112446636,0,0,0,0,0,0,0,0
KRT76,0,0,0,0,0,0,0,0
KRT77,0,0,0,0,0,0,0,0
KRT1,124,54,251,104,0,9,6,256
KRT2,0,0,0,0,0,0,0,12
KRT73,0,0,0,0,0,0,0,0
KRT72,0,0,70,0,0,0,0,0
KRT74,0,0,0,0,0,0,0,0
KRT71,0,0,0,0,0,0,0,0
KRT5,1958,2783,1899,2485,619,608,1200,2027
KRT6A,12,1,0,0,81,0,15,59
KRT6B,16,3,0,0,0,0,0,0
KRT6C,0,0,0,0,0,0,1,0
KRT75,0,0,0,0,0,0,0,0
LOC615589,0,0,0,0,0,0,0,0
KRT82,0,0,18,0,0,0,0,0
KRT84,0,0,0,0,0,7,0,0
KRT85,0,0,0,0,0,0,0,0
KRT89,13,10,40,13,14,0,47,42
KRT83,0,0,0,0,0,0,0,0
KRT86,0,0,0,0,0,0,0,0
LOC132345258,0,0,0,0,0,0,0,0
KRT81,0,0,0,0,0,0,0,0
LOC615451,0,0,0,0,0,0,1,9
LOC112446672,0,0,0,0,0,0,0,0
LOC112446673,0,0,0,0,0,0,0,0
LOC787600,0,0,0,3,0,2,0,3
LOC507184,0,0,0,0,0,0,0,10
KRT7,6030,8644,3079,4922,7138,6878,10544,5392
KRT80,480,249,191,330,1,316,504,229
